5cm
CPS, 2, CPM, 291, uSv/hr, 1.65, SLOW
CPS, 5, CPM, 295, uSv/hr, 1.68, SLOW
CPS, 4, CPM, 297, uSv/hr, 1.69, SLOW
CPS, 5, CPM, 299, uSv/hr, 1.70, SLOW
CPS, 2, CPM, 295, uSv/hr, 1.68, SLOW
CPS, 7, CPM, 297, uSv/hr, 1.69, SLOW
CPS, 6, CPM, 297, uSv/hr, 1.69, SLOW
CPS, 9, CPM, 299, uSv/hr, 1.70, SLOW
CPS, 4, CPM, 296, uSv/hr, 1.68, SLOW
CPS, 11, CPM, 291, uSv/hr, 1.65, SLOW
CPS, 4, CPM, 291, uSv/hr, 1.65, SLOW
CPS, 3, CPM, 271, uSv/hr, 1.54, SLOW
CPS, 7, CPM, 261, uSv/hr, 1.48, SLOW
CPS, 7, CPM, 259, uSv/hr, 1.47, SLOW
CPS, 4, CPM, 242, uSv/hr, 1.37, SLOW
CPS, 5, CPM, 228, uSv/hr, 1.29, SLOW
CPS, 11, CPM, 223, uSv/hr, 1.27, SLOW
CPS, 4, CPM, 225, uSv/hr, 1.28, SLOW
CPS, 8, CPM, 232, uSv/hr, 1.32, SLOW
CPS, 5, CPM, 237, uSv/hr, 1.35, SLOW
CPS, 2, CPM, 239, uSv/hr, 1.36, SLOW
CPS, 2, CPM, 241, uSv/hr, 1.37, SLOW
CPS, 11, CPM, 252, uSv/hr, 1.43, SLOW
CPS, 2, CPM, 254, uSv/hr, 1.44, SLOW
CPS, 3, CPM, 256, uSv/hr, 1.45, SLOW
CPS, 8, CPM, 264, uSv/hr, 1.50, SLOW
CPS, 4, CPM, 268, uSv/hr, 1.52, SLOW
CPS, 9, CPM, 277, uSv/hr, 1.57, SLOW
CPS, 9, CPM, 285, uSv/hr, 1.62, SLOW
CPS, 4, CPM, 289, uSv/hr, 1.64, SLOW
CPS, 3, CPM, 291, uSv/hr, 1.65, SLOW
CPS, 4, CPM, 294, uSv/hr, 1.67, SLOW
CPS, 9, CPM, 301, uSv/hr, 1.71, SLOW
CPS, 4, CPM, 303, uSv/hr, 1.72, SLOW
CPS, 7, CPM, 305, uSv/hr, 1.73, SLOW
CPS, 4, CPM, 304, uSv/hr, 1.73, SLOW
CPS, 5, CPM, 304, uSv/hr, 1.73, SLOW
CPS, 2, CPM, 300, uSv/hr, 1.71, SLOW
CPS, 7, CPM, 301, uSv/hr, 1.71, SLOW
CPS, 7, CPM, 304, uSv/hr, 1.73, SLOW
CPS, 3, CPM, 299, uSv/hr, 1.70, SLOW
CPS, 11, CPM, 310, uSv/hr, 1.76, SLOW
CPS, 14, CPM, 322, uSv/hr, 1.83, SLOW
CPS, 5, CPM, 327, uSv/hr, 1.86, SLOW
CPS, 4, CPM, 326, uSv/hr, 1.85, SLOW
CPS, 11, CPM, 332, uSv/hr, 1.89, SLOW