CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 1, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 1, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 1, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 2, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW