10cm
CPS, 0, CPM, 62, uSv/hr, 0.35, SLOW
CPS, 0, CPM, 61, uSv/hr, 0.34, SLOW
CPS, 1, CPM, 60, uSv/hr, 0.34, SLOW
CPS, 1, CPM, 61, uSv/hr, 0.34, SLOW
CPS, 0, CPM, 61, uSv/hr, 0.34, SLOW
CPS, 1, CPM, 62, uSv/hr, 0.35, SLOW
CPS, 2, CPM, 63, uSv/hr, 0.35, SLOW
CPS, 3, CPM, 63, uSv/hr, 0.35, SLOW
CPS, 1, CPM, 64, uSv/hr, 0.36, SLOW
CPS, 1, CPM, 65, uSv/hr, 0.37, SLOW
CPS, 3, CPM, 66, uSv/hr, 0.37, SLOW
CPS, 1, CPM, 66, uSv/hr, 0.37, SLOW
CPS, 2, CPM, 68, uSv/hr, 0.38, SLOW
CPS, 1, CPM, 69, uSv/hr, 0.39, SLOW
CPS, 1, CPM, 69, uSv/hr, 0.39, SLOW
CPS, 2, CPM, 71, uSv/hr, 0.40, SLOW
CPS, 0, CPM, 70, uSv/hr, 0.39, SLOW
CPS, 1, CPM, 71, uSv/hr, 0.40, SLOW
CPS, 2, CPM, 73, uSv/hr, 0.41, SLOW
CPS, 4, CPM, 75, uSv/hr, 0.42, SLOW
CPS, 5, CPM, 79, uSv/hr, 0.45, SLOW
CPS, 1, CPM, 75, uSv/hr, 0.42, SLOW
CPS, 3, CPM, 78, uSv/hr, 0.44, SLOW
CPS, 3, CPM, 76, uSv/hr, 0.43, SLOW
CPS, 2, CPM, 77, uSv/hr, 0.43, SLOW
CPS, 2, CPM, 79, uSv/hr, 0.45, SLOW
CPS, 2, CPM, 81, uSv/hr, 0.46, SLOW
CPS, 1, CPM, 82, uSv/hr, 0.46, SLOW
CPS, 2, CPM, 82, uSv/hr, 0.46, SLOW
CPS, 2, CPM, 84, uSv/hr, 0.47, SLOW
CPS, 1, CPM, 85, uSv/hr, 0.48, SLOW
CPS, 1, CPM, 85, uSv/hr, 0.48, SLOW
CPS, 0, CPM, 83, uSv/hr, 0.47, SLOW
CPS, 0, CPM, 82, uSv/hr, 0.46, SLOW
CPS, 2, CPM, 82, uSv/hr, 0.46, SLOW
CPS, 1, CPM, 83, uSv/hr, 0.47, SLOW
CPS, 2, CPM, 85, uSv/hr, 0.48, SLOW
CPS, 1, CPM, 86, uSv/hr, 0.49, SLOW
CPS, 1, CPM, 85, uSv/hr, 0.48, SLOW
CPS, 0, CPM, 84, uSv/hr, 0.47, SLOW
CPS, 3, CPM, 87, uSv/hr, 0.49, SLOW
CPS, 4, CPM, 89, uSv/hr, 0.50, SLOW
CPS, 2, CPM, 89, uSv/hr, 0.50, SLOW
CPS, 1, CPM, 86, uSv/hr, 0.49, SLOW
CPS, 3, CPM, 87, uSv/hr, 0.49, SLOW
CPS, 2, CPM, 88, uSv/hr, 0.50, SLOW
CPS, 2, CPM, 89, uSv/hr, 0.50, SLOW
CPS, 5, CPM, 91, uSv/hr, 0.51, SLOW
CPS, 3, CPM, 92, uSv/hr, 0.52, SLOW
CPS, 5, CPM, 97, uSv/hr, 0.55, SLOW
CPS, 2, CPM, 97, uSv/hr, 0.55, SLOW
CPS, 0, CPM, 97, uSv/hr, 0.55, SLOW
CPS, 3, CPM, 94, uSv/hr, 0.53, SLOW
CPS, 2, CPM, 96, uSv/hr, 0.54, SLOW
CPS, 4, CPM, 100, uSv/hr, 0.57, SLOW
CPS, 2, CPM, 102, uSv/hr, 0.58, SLOW
CPS, 0, CPM, 102, uSv/hr, 0.58, SLOW
CPS, 2, CPM, 104, uSv/hr, 0.59, SLOW
CPS, 0, CPM, 104, uSv/hr, 0.59, SLOW
CPS, 1, CPM, 105, uSv/hr, 0.59, SLOW
CPS, 1, CPM, 106, uSv/hr, 0.60, SLOW
CPS, 4, CPM, 110, uSv/hr, 0.62, SLOW
CPS, 3, CPM, 112, uSv/hr, 0.63, SLOW
CPS, 4, CPM, 115, uSv/hr, 0.65, SLOW
CPS, 2, CPM, 117, uSv/hr, 0.66, SLOW
CPS, 3, CPM, 119, uSv/hr, 0.67, SLOW
CPS, 3, CPM, 120, uSv/hr, 0.68, SLOW
CPS, 0, CPM, 117, uSv/hr, 0.66, SLOW
CPS, 1, CPM, 117, uSv/hr, 0.66, SLOW
CPS, 2, CPM, 118, uSv/hr, 0.67, SLOW
CPS, 4, CPM, 119, uSv/hr, 0.67, SLOW
CPS, 4, CPM, 122, uSv/hr, 0.69, SLOW
CPS, 2, CPM, 122, uSv/hr, 0.69, SLOW