6cm
CPS, 4, CPM, 174, uSv/hr, 0.99, SLOW
CPS, 6, CPM, 180, uSv/hr, 1.02, SLOW
CPS, 9, CPM, 189, uSv/hr, 1.07, SLOW
CPS, 5, CPM, 193, uSv/hr, 1.10, SLOW
CPS, 4, CPM, 197, uSv/hr, 1.12, SLOW
CPS, 5, CPM, 202, uSv/hr, 1.15, SLOW
CPS, 7, CPM, 207, uSv/hr, 1.17, SLOW
CPS, 5, CPM, 211, uSv/hr, 1.20, SLOW
CPS, 1, CPM, 212, uSv/hr, 1.20, SLOW
CPS, 9, CPM, 221, uSv/hr, 1.25, SLOW
CPS, 3, CPM, 223, uSv/hr, 1.27, SLOW
CPS, 9, CPM, 230, uSv/hr, 1.31, SLOW
CPS, 9, CPM, 239, uSv/hr, 1.36, SLOW
CPS, 14, CPM, 253, uSv/hr, 1.44, SLOW
CPS, 7, CPM, 260, uSv/hr, 1.48, SLOW
CPS, 7, CPM, 267, uSv/hr, 1.52, SLOW
CPS, 6, CPM, 273, uSv/hr, 1.55, SLOW
CPS, 9, CPM, 281, uSv/hr, 1.60, SLOW
CPS, 3, CPM, 284, uSv/hr, 1.61, SLOW
CPS, 6, CPM, 289, uSv/hr, 1.64, SLOW
CPS, 2, CPM, 291, uSv/hr, 1.65, SLOW
CPS, 3, CPM, 292, uSv/hr, 1.66, SLOW
CPS, 6, CPM, 297, uSv/hr, 1.69, SLOW
CPS, 7, CPM, 304, uSv/hr, 1.73, SLOW
CPS, 1, CPM, 305, uSv/hr, 1.73, SLOW
CPS, 9, CPM, 313, uSv/hr, 1.78, SLOW
CPS, 5, CPM, 318, uSv/hr, 1.81, SLOW
CPS, 4, CPM, 321, uSv/hr, 1.82, SLOW
CPS, 11, CPM, 332, uSv/hr, 1.89, SLOW
CPS, 3, CPM, 335, uSv/hr, 1.90, SLOW
CPS, 7, CPM, 342, uSv/hr, 1.94, SLOW
CPS, 3, CPM, 345, uSv/hr, 1.96, SLOW
CPS, 5, CPM, 350, uSv/hr, 1.99, SLOW
CPS, 4, CPM, 353, uSv/hr, 2.01, SLOW
CPS, 4, CPM, 346, uSv/hr, 1.97, SLOW
CPS, 4, CPM, 343, uSv/hr, 1.95, SLOW
CPS, 8, CPM, 344, uSv/hr, 1.96, SLOW
CPS, 6, CPM, 341, uSv/hr, 1.94, SLOW
CPS, 6, CPM, 339, uSv/hr, 1.93, SLOW
CPS, 5, CPM, 338, uSv/hr, 1.92, SLOW
CPS, 5, CPM, 340, uSv/hr, 1.93, SLOW
CPS, 9, CPM, 346, uSv/hr, 1.97, SLOW
CPS, 1, CPM, 344, uSv/hr, 1.96, SLOW
CPS, 1, CPM, 339, uSv/hr, 1.93, SLOW
CPS, 3, CPM, 339, uSv/hr, 1.93, SLOW
CPS, 4, CPM, 338, uSv/hr, 1.92, SLOW
CPS, 5, CPM, 335, uSv/hr, 1.90, SLOW
CPS, 4, CPM, 336, uSv/hr, 1.91, SLOW
CPS, 6, CPM, 337, uSv/hr, 1.92, SLOW
CPS, 7, CPM, 336, uSv/hr, 1.91, SLOW
CPS, 3, CPM, 335, uSv/hr, 1.90, SLOW
CPS, 2, CPM, 333, uSv/hr, 1.89, SLOW
CPS, 5, CPM, 332, uSv/hr, 1.89, SLOW
CPS, 7, CPM, 332, uSv/hr, 1.89, SLOW
CPS, 2, CPM, 328, uSv/hr, 1.86, SLOW
CPS, 2, CPM, 329, uSv/hr, 1.87, SLOW
CPS, 9, CPM, 331, uSv/hr, 1.88, SLOW
CPS, 5, CPM, 326, uSv/hr, 1.85, SLOW
CPS, 5, CPM, 322, uSv/hr, 1.83, SLOW
CPS, 2, CPM, 318, uSv/hr, 1.81, SLOW
CPS, 9, CPM, 323, uSv/hr, 1.84, SLOW
CPS, 3, CPM, 320, uSv/hr, 1.82, SLOW
CPS, 2, CPM, 313, uSv/hr, 1.78, SLOW
CPS, 3, CPM, 311, uSv/hr, 1.77, SLOW
CPS, 3, CPM, 310, uSv/hr, 1.76, SLOW